id,imgUrl,电台,区域
4804,//pic.qtfm.cn/2020/1016/20201016121634.png,怀集音乐之声,网络
20500149,//pic.qtfm.cn/2022/0619/20220619063631.jpeg,两广之声音乐台,网络
468,//pic.qtfm.cn/2021/0519/20210519030711.jpeg,广东南方生活广播,广东
469,//pic.qtfm.cn/2020/0402/20200402042931.png,广东城市之声,广东
470,//pic.qtfm.cn/2022/0729/20220729092142.jpeg,广东广播电视台珠江之声,广东
471,//pic.qtfm.cn/sso/198/1567411393720_vdCUW70Lt.jpeg,广东广播电视台文体广播,广东
1254,//pic.qtfm.cn/2021/0919/20210919103138.jpeg,广东新闻广播,广东
1259,//pic.qtfm.cn/2015/0209/20150209212831195.jpg,广东珠江经济电台,广东
1260,//pic.qtfm.cn/sso/198/1564454286057_EAoJdKLRT.jpeg,广东音乐之声,广东
4847,//pic.qtfm.cn/sso/198/1606978988505_KEOyj7yxs.jpeg,广东广播电视台股市广播,广东
1262,//pic.qtfm.cn/2016/0627/2016062715553137.png,羊城交通台,广州
4848,//pic.qtfm.cn/sso/198/1631608611268_yOwdpDG9p.jpeg,广州新闻资讯广播,广州
4955,//pic.qtfm.cn/2016/0412/20160412212622806.png,广州交通广播,广州
20192,//pic.qtfm.cn/2017/0411/20170411122342.gif,广州汽车音乐电台,广州
20194,//pic.qtfm.cn/2023/0519/20230519102904.png,广州MYFM 88.0,广州
4594,//pic.qtfm.cn/2012/0906/20120906035229820.jpg,潮州交通音乐广播,潮州
4595,//pic.qtfm.cn/2015/0427/20150427150246450.jpg,潮州戏曲广播,潮州
4596,//pic.qtfm.cn/2015/0427/20150427150434900.jpg,潮州综合频率,潮州
5022439,//pic.qtfm.cn/2015/0430/20150430050915573.jpg,澄海人民广播电台,澄海
15318698,//pic.qtfm.cn/2021/0701/20210701111917.png,从化广播电视台综合广播,从化
1276,//pic.qtfm.cn/2018/0403/20180403061250.png,东莞综合广播,东莞
1288,//pic.qtfm.cn/2014/0330/20140330111811745.jpg,东莞交通广播,东莞
21209,//pic.qtfm.cn/2017/1128/20171128095837.png,东莞音乐广播,东莞
20500124,//pic.qtfm.cn/sso/48/1639704947691_M3w-uQctz.jpeg,东源广播电台,东源
